title,picture,url,media,press,campaign
Pregnant women less likely to be sent to prison under new guidelines,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-20-at-16.03.49.png,No URL,independent.co.uk,Yes,PREGNANCY IN PRISON
Pregnancy and maternity to be new mitigating factor for sentencing offenders,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-20-at-16.05.15.png,https://www.standard.co.uk/news/crime/prison-nhs-england-pregnancy-surrey-b1145886.html#,standard.co.uk,Yes,PREGNANCY IN PRISON
Woman whose baby was stillborn in HMP Styal praises sentencing changes,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-20-at-16.06.58.png,https://amp.theguardian.com/law/2024/mar/18/woman-baby-stillborn-hmp-styal-prison-sentencing-guidance,The Guardian,Yes,PREGNANCY IN PRISON
,https://www.welevelup.org/wp-content/plugins/gutentor/assets/img/default-image.jpg,No URL,,Yes,
Should pregnant women be spared jail? Sentencing Council reviews the impact of prison on unborn babies,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-21.05.28.png,https://news.sky.com/story/should-pregnant-women-be-spared-jail-sentencing-council-reviews-the-impact-of-prison-on-unborn-babies-12991044,Sky News,Yes,PREGNANCY IN PRISON
"Pregnant women are being forced to give birth in prison, affecting their own and their children’s life chances. Janey Starling explains why no woman should be imprisoned in pregnancy.",https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-21.02.41.png,https://neweconomics.org/2023/10/pregnant-in-prison,New Economics Foundation,Yes,PREGNANCY IN PRISON
"Different chemistries have been designed to turn curly hair straight, but in all cases questions remain about their safety, finds Rachel Brazil",https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-21.01.48.png,https://www.chemistryworld.com/features/are-hair-relaxers-damaging-to-health/4017658.article,Chemistry World,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
New data on prisons has added to calls by campaigners to end custodial sentences for expectant mothers,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-21.00.40.png,https://www.theguardian.com/society/2023/oct/28/revealed-one-in-three-jailed-pregnant-women-in-england-and-wales-still-to-face-trial,the Guardian,Yes,PREGNANCY IN PRISON
Mum whose baby died in prison blasts ‘cruel system’ as coroner rejects report,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-17-at-18.41.19.png,https://www.standard.co.uk/news/crime/mother-rianna-cleary-baby-died-prison-coroner-bronzefield-woking-surrey-b1120332.html,standard.co.uk,Yes,PREGNANCY IN PRISON
A mother’s fight for justice after baby dies in prison,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-17-at-18.49.00.png,https://www.channel4.com/news/a-mothers-fight-for-justice-after-baby-dies-in-prison,Channel 4 News,Yes,PREGNANCY IN PRISON
