title,picture,url,media,press,campaign,og_image,corrected_name
Pregnant women less likely to be sent to prison under new guidelines,https://static.independent.co.uk/2024/03/07/16/PA-1966228.jpg?quality=75&width=1200&auto=webp,https://www.independent.co.uk/news/uk/home-news/pregnant-women-prison-sentencing-council-b2513473.html,independent.co.uk,Yes,PREGNANCY IN PRISON,https://static.independent.co.uk/2024/03/07/16/PA-1966228.jpg?quality=75&width=1200&auto=webp,The Independent
Pregnancy and maternity to be new mitigating factor for sentencing offenders,https://static.standard.co.uk/2024/03/18/00/b3fb4274b47218418a22b675ab382eafY29udGVudHNlYXJjaGFwaSwxNzEwNjk5OTIx-2.36732601.jpg?width=1200&auto=webp&quality=75,https://www.standard.co.uk/news/crime/prison-nhs-england-pregnancy-surrey-b1145886.html#,standard.co.uk,Yes,PREGNANCY IN PRISON,https://static.standard.co.uk/2024/03/18/00/b3fb4274b47218418a22b675ab382eafY29udGVudHNlYXJjaGFwaSwxNzEwNjk5OTIx-2.36732601.jpg?width=1200&auto=webp&quality=75,The Evening Standard
Woman whose baby was stillborn in HMP Styal praises sentencing changes,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-20-at-16.06.58.png,https://amp.theguardian.com/law/2024/mar/18/woman-baby-stillborn-hmp-styal-prison-sentencing-guidance,The Guardian,Yes,PREGNANCY IN PRISON,,The Guardian
Should pregnant women be spared jail? Sentencing Council reviews the impact of prison on unborn babies,https://e3.365dm.com/23/10/1600x900/skynews-women-in-prison-behind-bars_6332766.jpg?20231023160027,https://news.sky.com/story/should-pregnant-women-be-spared-jail-sentencing-council-reviews-the-impact-of-prison-on-unborn-babies-12991044,Sky News,Yes,PREGNANCY IN PRISON,https://e3.365dm.com/23/10/1600x900/skynews-women-in-prison-behind-bars_6332766.jpg?20231023160027,Sky News
"Pregnant women are being forced to give birth in prison, affecting their own and their children’s life chances. Janey Starling explains why no woman should be imprisoned in pregnancy.",https://neweconomics.org/uploads/images/_1200x630_crop_center-center_82_none/iStock-860845028.jpg?mtime=1697555497,https://neweconomics.org/2023/10/pregnant-in-prison,New Economics Foundation,Yes,PREGNANCY IN PRISON,https://neweconomics.org/uploads/images/_1200x630_crop_center-center_82_none/iStock-860845028.jpg?mtime=1697555497,New Economics Foundation
"Different chemistries have been designed to turn curly hair straight, but in all cases questions remain about their safety, finds Rachel Brazil",https://d2cbg94ubxgsnp.cloudfront.net/Pictures/1024x536/4/4/0/527440_gettyimages554999647_138537_crop.jpg,https://www.chemistryworld.com/features/are-hair-relaxers-damaging-to-health/4017658.article,Chemistry World,Yes,TOXIC CHEMICALS IN HAIR RELAXERS,https://d2cbg94ubxgsnp.cloudfront.net/Pictures/1024x536/4/4/0/527440_gettyimages554999647_138537_crop.jpg,Chemistry World
New data on prisons has added to calls by campaigners to end custodial sentences for expectant mothers,https://i.guim.co.uk/img/media/36e1024599d865154ab4efefde5f3dcd87b0cc66/0_196_9528_5716/master/9528.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=a58a049b07d8573ba264d5bf45654484,https://www.theguardian.com/society/2023/oct/28/revealed-one-in-three-jailed-pregnant-women-in-england-and-wales-still-to-face-trial,the Guardian,Yes,PREGNANCY IN PRISON,https://i.guim.co.uk/img/media/36e1024599d865154ab4efefde5f3dcd87b0cc66/0_196_9528_5716/master/9528.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=a58a049b07d8573ba264d5bf45654484,The Guardian
Mum whose baby died in prison blasts ‘cruel system’ as coroner rejects report,https://static.standard.co.uk/2023/11/14/17/42/prison%20.jpg?width=1200&auto=webp&quality=75,https://www.standard.co.uk/news/crime/mother-rianna-cleary-baby-died-prison-coroner-bronzefield-woking-surrey-b1120332.html,standard.co.uk,Yes,PREGNANCY IN PRISON,https://static.standard.co.uk/2023/11/14/17/42/prison%20.jpg?width=1200&auto=webp&quality=75,The Evening Standard
A mother’s fight for justice after baby dies in prison,https://fournews-assets-prod-s3-ew1-nmprod.s3.amazonaws.com/media/2023/11/ZH0hNo8W_image-1-1920x1080.png,https://www.channel4.com/news/a-mothers-fight-for-justice-after-baby-dies-in-prison,Channel 4 News,Yes,PREGNANCY IN PRISON,https://fournews-assets-prod-s3-ew1-nmprod.s3.amazonaws.com/media/2023/11/ZH0hNo8W_image-1-1920x1080.png,Channel 4 News
"Young mum, 18, slams ‘cruel’ prison system as baby dies in her arms inside cell",https://i2-prod.mirror.co.uk/incoming/article27091401.ece/ALTERNATES/s1200/0_HMP-Bronzefield-report.jpg,https://www.mirror.co.uk/news/uk-news/young-mum-18-slams-cruel-31441633,The Mirror,Yes,PREGNANCY IN PRISON,https://i2-prod.mirror.co.uk/incoming/article27091401.ece/ALTERNATES/s1200/0_HMP-Bronzefield-report.jpg,The Mirror
Premier League teams are playing footballers facing abuse claims,https://ichef.bbci.co.uk/news/1024/branded_news/3EF3/production/_131851161_index-footballers-behaviour-976x549.png,https://www.bbc.com/news/uk-67508310,BBC,Yes,SEXUAL VIOLENCE IN FOOTBALL,https://ichef.bbci.co.uk/news/1024/branded_news/3EF3/production/_131851161_index-footballers-behaviour-976x549.png,BBC
Pregnant woman’s jail sentence quashed in ‘landmark’ UK ruling,https://i.guim.co.uk/img/media/ddb25121c62cb6825c4a5e5e39b08574ee1b37bf/0_0_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=44cfe89e79b6e51ca267dcbf18777164,https://www.theguardian.com/society/2024/jan/19/pregnant-woman-jail-sentence-quashed-in-landmark-uk-ruling,The guardian,Yes,PREGNANCY IN PRISON,https://i.guim.co.uk/img/media/ddb25121c62cb6825c4a5e5e39b08574ee1b37bf/0_0_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=44cfe89e79b6e51ca267dcbf18777164,The Guardian
UK prison where baby died gives women rape alarms to call for help during labour,https://i.guim.co.uk/img/media/33546bdbcc57a7d9f29030cf2bff8c4a11bfadbb/0_481_7864_4719/master/7864.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=f56b28377a90663a077d5a198ad24d45,https://www.theguardian.com/society/2024/jan/21/uk-prison-hmp-bronzefield-pregnant-women-aisha-cleary,The guardian,Yes,PREGNANCY IN PRISON,https://i.guim.co.uk/img/media/33546bdbcc57a7d9f29030cf2bff8c4a11bfadbb/0_481_7864_4719/master/7864.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=f56b28377a90663a077d5a198ad24d45,The Guardian
"Pregnant women and new mothers shouldn’t be sent to jail, UK public says",https://i.guim.co.uk/img/media/33546bdbcc57a7d9f29030cf2bff8c4a11bfadbb/0_241_7864_4719/master/7864.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=594ecbac1b3040cade7c5ffc70892cff,https://www.theguardian.com/society/2024/feb/24/pregnant-women-and-new-mothers-shouldnt-be-sent-to-jail-uk-public-says,The Guardian,Yes,PREGNANCY IN PRISON,https://i.guim.co.uk/img/media/33546bdbcc57a7d9f29030cf2bff8c4a11bfadbb/0_241_7864_4719/master/7864.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=594ecbac1b3040cade7c5ffc70892cff,The Guardian
Fewer pregnant women to be jailed after two babies die behind bars triggering major shift in sentencing,https://i2-prod.mirror.co.uk/incoming/article32379566.ece/ALTERNATES/s1200/1_6141927E-1F83-494F-9073-0CBBBDEA323BJPG.jpg,https://www.mirror.co.uk/news/uk-news/prisoner-biting-umbilical-cord-cell-32379333,Mirror,Yes,PREGNANCY IN PRISON,https://i2-prod.mirror.co.uk/incoming/article32379566.ece/ALTERNATES/s1200/1_6141927E-1F83-494F-9073-0CBBBDEA323BJPG.jpg,The Mirror
"An inquest has found prison failings contributed to the death of a teenager’s newborn baby, in a jail cell in Surrey. Campaigners say it raises fresh questions over whether pregnant women should be sent to prison in the first place.",https://www.inquest.org.uk/handlers/getimage.ashx?idmf=709ec8be-396d-46ef-b916-41ccda4e0528&w=1200&h=630&f=1,"https://www.inquest.org.uk/aisha-cleary-inquest-closes#:~:text=Concluding%20the%20month%2Dlong%20inquest,in%20a%20prison%20cell%20without",inquest.org.uk,Yes,PREGNANCY IN PRISON,https://www.inquest.org.uk/handlers/getimage.ashx?idmf=709ec8be-396d-46ef-b916-41ccda4e0528&w=1200&h=630&f=1,Inquest
Campaigners have demanded an end to the “high-risk” practice of sending pregnant women to prison as new figures show that nearly 200 expectant mothers were be,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F90744092-2c89-11ee-b33d-6d3f5a636b40.jpg?crop=1600%2C900%2C0%2C0&resize=1200,https://www.thetimes.co.uk/article/jailed-teen-lost-baby-giving-birth-alone-cutting-umbilical-cord-with-teeth-qqcwq70zt,thetimes.co.uk,Yes,PREGNANCY IN PRISON,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F90744092-2c89-11ee-b33d-6d3f5a636b40.jpg?crop=1600%2C900%2C0%2C0&resize=1200,The Times
Baby died after ‘vulnerable’ Black teenage mother gave birth alone in prison cell,https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.40.34.png,//www.independent.co.uk/news/uk/home-news/aisha-cleary-prison-death-coroner-b2383719.html,The Independent,Yes,PREGNANCY IN PRISON,,The Independent
Teen found holding dead baby in cell after biting through umbilical cord,https://i2-prod.mirror.co.uk/incoming/article27091401.ece/ALTERNATES/s1200/0_HMP-Bronzefield-report.jpg,https://www.mirror.co.uk/news/uk-news/blood-covered-teen-found-holding-30576184,The mirror,Yes,PREGNANCY IN PRISON,https://i2-prod.mirror.co.uk/incoming/article27091401.ece/ALTERNATES/s1200/0_HMP-Bronzefield-report.jpg,
"Two babies have died in England’s prisons in recent years, and pregnant women have appalling stories to tell",https://wp.inews.co.uk/wp-content/uploads/2023/10/SEI_174399754.jpg?crop=0px%2C73px%2C2500px%2C1411px&resize=1200%2C675,https://inews.co.uk/opinion/doctors-agree-that-prison-isnt-safe-for-pregnant-women-so-why-are-we-still-locking-them-up-2657607,inews.co.uk,Yes,PREGNANCY IN PRISON,https://wp.inews.co.uk/wp-content/uploads/2023/10/SEI_174399754.jpg?crop=0px%2C73px%2C2500px%2C1411px&resize=1200%2C675,iNews
Dozens of women accused of illegal abortions face police investigations,https://static.independent.co.uk/s3fs-public/thumbnails/image/2014/01/25/11/Pills.jpg?quality=75&width=1200&auto=webp,https://www.independent.co.uk/news/uk/home-news/abortions-police-investigation-women-b2358894.html,independent.co.uk,Yes,ABORTION IS HEALTHCARE,https://static.independent.co.uk/s3fs-public/thumbnails/image/2014/01/25/11/Pills.jpg?quality=75&width=1200&auto=webp,The Independent
Anna was terrified she might lose her first-born while pregnant in prison. She says the BBC show Time is an accurate representation of her harrowing experience,https://wp.inews.co.uk/wp-content/uploads/2023/11/SEI_178513859.jpg?w=1200&h=675&crop=1,https://inews.co.uk/inews-lifestyle/the-guilt-i-feel-for-having-my-son-in-that-environment-is-unreal-what-its-like-to-give-birth-in-prison-2729284,inews.co.uk,Yes,PREGNANCY IN PRISON,https://wp.inews.co.uk/wp-content/uploads/2023/11/SEI_178513859.jpg?w=1200&h=675&crop=1,iNews
Women on remand more likely to self-harm | Prison Reform Trust,https://prisonreformtrust.org.uk/wp-content/uploads/2022/08/10-holloway-8549-edited.jpg,"https://prisonreformtrust.org.uk/women-on-remand-more-likely-to-self-harm/#:~:text=In%202021%2C%20over%20half%20of,two%20in%20five%20(43%25).",Prison Reform Trust,Yes,PREGNANCY IN PRISON,https://prisonreformtrust.org.uk/wp-content/uploads/2022/08/10-holloway-8549-edited.jpg,
L’Oréal Urged To Withdraw Hair Relaxers From Possible Link To Cancer | FOX SOUL’s Black Report,https://i.ytimg.com/vi/ZuD2IWFgPLA/maxresdefault.jpg,https://www.youtube.com/watch?v=ZuD2IWFgPLA,youtube,Yes,TOXIC CHEMICALS IN HAIR RELAXERS,https://i.ytimg.com/vi/ZuD2IWFgPLA/maxresdefault.jpg,
Feminist Community Calls for L’Oréal to Remove Toxic Ingredients from Hair Relaxers,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-02-at-12.20.32.png,https://newyork.legalexaminer.com/legal/feminist-community-calls-for-loreal-to-remove-toxic-ingredients-from-hair-relaxers/,newyork.legalexaminer.com/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS,,New York Legal Examiner
